answer_number,question_title,author_name,answer_url,created_time,introduction,regional,comment,comment_number
79,How could we begin to help physicians dealing with physician burnout syndrome?,Kenneth-Mason-12,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#896765021November 9, 2019 at 1:00:08 AM",Former Blissfully Retired   ;611.6K content views12K this month   ;Active in 1 Space   ;Joined July 2017,,I have often noticed the waiting room as a quiet still place full of people whispering to each other or just sitting in silence.,506
79,How could we begin to help physicians dealing with physician burnout syndrome?,Kenneth-Mason-12,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#896765021November 9, 2019 at 1:00:08 AM",Former Blissfully Retired   ;611.6K content views12K this month   ;Active in 1 Space   ;Joined July 2017,, THIS IS NOT FOR ME.,507
79,How could we begin to help physicians dealing with physician burnout syndrome?,Kenneth-Mason-12,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#896765021November 9, 2019 at 1:00:08 AM",Former Blissfully Retired   ;611.6K content views12K this month   ;Active in 1 Space   ;Joined July 2017,,,508
79,How could we begin to help physicians dealing with physician burnout syndrome?,Kenneth-Mason-12,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#896765021November 9, 2019 at 1:00:08 AM",Former Blissfully Retired   ;611.6K content views12K this month   ;Active in 1 Space   ;Joined July 2017,,This is just my personal approach.,509
79,How could we begin to help physicians dealing with physician burnout syndrome?,Kenneth-Mason-12,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#896765021November 9, 2019 at 1:00:08 AM",Former Blissfully Retired   ;611.6K content views12K this month   ;Active in 1 Space   ;Joined July 2017,, kapm,510
79,How could we begin to help physicians dealing with physician burnout syndrome?,Kenneth-Mason-12,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#896765021November 9, 2019 at 1:00:08 AM",Former Blissfully Retired   ;611.6K content views12K this month   ;Active in 1 Space   ;Joined July 2017,,mason,511
80,How could we begin to help physicians dealing with physician burnout syndrome?,Catherine-Martell-2,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#898177489November 10, 2019 at 2:00:29 PM","Former Peer Specialist at Community Counseling Center2008–2015   ;BSN in Bachelor of Science in Nursing (BSN), Pennsylvania State University   ;379.5K content views7.2K this month   ;Joined September 2018",America,Let them be human.,512
80,How could we begin to help physicians dealing with physician burnout syndrome?,Catherine-Martell-2,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#898177489November 10, 2019 at 2:00:29 PM","Former Peer Specialist at Community Counseling Center2008–2015   ;BSN in Bachelor of Science in Nursing (BSN), Pennsylvania State University   ;379.5K content views7.2K this month   ;Joined September 2018",America," when they’re up all night on call, they should have limited hours that allow for sleep the next day, for example.",513
80,How could we begin to help physicians dealing with physician burnout syndrome?,Catherine-Martell-2,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#898177489November 10, 2019 at 2:00:29 PM","Former Peer Specialist at Community Counseling Center2008–2015   ;BSN in Bachelor of Science in Nursing (BSN), Pennsylvania State University   ;379.5K content views7.2K this month   ;Joined September 2018",America, they know what a healthy lifestyle is but aren’t allowed to have one.,514
81,How could we begin to help physicians dealing with physician burnout syndrome?,Marty-Shoemaker-1,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#934154868December 16, 2019 at 2:58:21 AM","Humanist Chaplain at Kwantlen Polytechnic University2014–present   ;PhD in Clinical Psychology & Theology (graduate degree), Fuller Graduate School of Psychology   ;Lives in Vancouver, BC1981–present   ;796.6K content views13.2K this month   ;Joined January 2017",Canada,Hello Mae.,515
81,How could we begin to help physicians dealing with physician burnout syndrome?,Marty-Shoemaker-1,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#934154868December 16, 2019 at 2:58:21 AM","Humanist Chaplain at Kwantlen Polytechnic University2014–present   ;PhD in Clinical Psychology & Theology (graduate degree), Fuller Graduate School of Psychology   ;Lives in Vancouver, BC1981–present   ;796.6K content views13.2K this month   ;Joined January 2017",Canada, Good question and I am sure it is a problem everywhere in medical systems particularly where there is national or socialized medicine.,516
81,How could we begin to help physicians dealing with physician burnout syndrome?,Marty-Shoemaker-1,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#934154868December 16, 2019 at 2:58:21 AM","Humanist Chaplain at Kwantlen Polytechnic University2014–present   ;PhD in Clinical Psychology & Theology (graduate degree), Fuller Graduate School of Psychology   ;Lives in Vancouver, BC1981–present   ;796.6K content views13.2K this month   ;Joined January 2017",Canada, I would imagine that the medical associations have programs to identify and treat these physicians but true to form Drs are often unaware of the signs and…,517
81,How could we begin to help physicians dealing with physician burnout syndrome?,Marty-Shoemaker-1,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#934154868December 16, 2019 at 2:58:21 AM","Humanist Chaplain at Kwantlen Polytechnic University2014–present   ;PhD in Clinical Psychology & Theology (graduate degree), Fuller Graduate School of Psychology   ;Lives in Vancouver, BC1981–present   ;796.6K content views13.2K this month   ;Joined January 2017",Canada,(,518
81,How could we begin to help physicians dealing with physician burnout syndrome?,Marty-Shoemaker-1,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#934154868December 16, 2019 at 2:58:21 AM","Humanist Chaplain at Kwantlen Polytechnic University2014–present   ;PhD in Clinical Psychology & Theology (graduate degree), Fuller Graduate School of Psychology   ;Lives in Vancouver, BC1981–present   ;796.6K content views13.2K this month   ;Joined January 2017",Canada,more),519
82,How could we begin to help physicians dealing with physician burnout syndrome?,Matt-Freitas-4,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#896803018November 9, 2019 at 1:47:56 AM","Family Nurse Practitioner1992–present   ;Nationally certified NP in Medicine and Healthcare, Stanford University   ;Lives in Modesto, CA1992–present   ;475.1K content views26.1K this month   ;Active in 5 Spaces   ;Joined April 2017",America,In my opinion term physician burnout is a misnomer.,520
82,How could we begin to help physicians dealing with physician burnout syndrome?,Matt-Freitas-4,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#896803018November 9, 2019 at 1:47:56 AM","Family Nurse Practitioner1992–present   ;Nationally certified NP in Medicine and Healthcare, Stanford University   ;Lives in Modesto, CA1992–present   ;475.1K content views26.1K this month   ;Active in 5 Spaces   ;Joined April 2017",America, Physicians who spend a lot of time and money to become qualifi ed to practice are expected to continue their profession for lifetime but medicine is going through rapid changes on a professional level.,521
82,How could we begin to help physicians dealing with physician burnout syndrome?,Matt-Freitas-4,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#896803018November 9, 2019 at 1:47:56 AM","Family Nurse Practitioner1992–present   ;Nationally certified NP in Medicine and Healthcare, Stanford University   ;Lives in Modesto, CA1992–present   ;475.1K content views26.1K this month   ;Active in 5 Spaces   ;Joined April 2017",America, Doctors were one time viewed as leaders in the…,522
82,How could we begin to help physicians dealing with physician burnout syndrome?,Matt-Freitas-4,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#896803018November 9, 2019 at 1:47:56 AM","Family Nurse Practitioner1992–present   ;Nationally certified NP in Medicine and Healthcare, Stanford University   ;Lives in Modesto, CA1992–present   ;475.1K content views26.1K this month   ;Active in 5 Spaces   ;Joined April 2017",America,(,523
82,How could we begin to help physicians dealing with physician burnout syndrome?,Matt-Freitas-4,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#896803018November 9, 2019 at 1:47:56 AM","Family Nurse Practitioner1992–present   ;Nationally certified NP in Medicine and Healthcare, Stanford University   ;Lives in Modesto, CA1992–present   ;475.1K content views26.1K this month   ;Active in 5 Spaces   ;Joined April 2017",America,more),524
83,How could we begin to help physicians dealing with physician burnout syndrome?,Dana-McCracken,https://www.quora.com/How-could-we-begin-to-help-physicians-dealing-with-physician-burnout-syndrome,"#897046759November 9, 2019 at 8:31:44 AM",44.6K content views1.1K this month   ;Joined March 2017,,For all of them to ensure that the patient records from one place is forwarded to all the doctors that need that information to help clints.,525
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,Why do urologists re…,526
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,"First,le",527
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,t,528
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,′,529
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,"sjustputitouttherethatemotionscanbecontagious,",530
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,especiallyifthepersondoes,531
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,n,532
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,′,533
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,tknowhowtovaccinatethemselvesagainstnegativeemotionalcontagions.,534
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,,535
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,F,536
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,"First, let’s just put it out there that emotions can be contagious, especially if the person doesn’t know how to vaccinate themselves against negative emotional contagions.",537
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,,538
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,"Now, let’s look at w…",539
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,… (,540
84,Why do urologists report such a high rate of stress and burnout?,Jeanine-Joy,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#439537545June 6, 2018 at 12:30:31 AM","Ph.D., CEO, Trainer, Speaker, Author, Researcher at Happiness 1st Institute   ;Ph.D. in Philosophy of Psychology & Employee Engagement, University of Sedona   ;Lives in Charlotte, NC1998–present   ;12.8M content views197.7K this month   ;Top Writer2018 and 2017   ;Top Question Writer2018   ;Published WriterHuffPost, Forbes, Apple News and 1 more   ;Active in 70 Spaces   ;Knows English   ;Joined February 2013",America,view more),541
85,Why do urologists report such a high rate of stress and burnout?,Jessica-Brown-2127,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#950083638January 2, 2020 at 11:11:55 AM","B.S from Taylor UniversityGraduated 2004   ;Lives in Indianapolis, IN   ;60.9K content views3.6K this month   ;Joined May 2018",Indiana,High rates of unecessary surgeries.,542
85,Why do urologists report such a high rate of stress and burnout?,Jessica-Brown-2127,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#950083638January 2, 2020 at 11:11:55 AM","B.S from Taylor UniversityGraduated 2004   ;Lives in Indianapolis, IN   ;60.9K content views3.6K this month   ;Joined May 2018",Indiana, It’d It’s a quantity not quality based system that profits on botched surgeries and harm.,543
85,Why do urologists report such a high rate of stress and burnout?,Jessica-Brown-2127,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#950083638January 2, 2020 at 11:11:55 AM","B.S from Taylor UniversityGraduated 2004   ;Lives in Indianapolis, IN   ;60.9K content views3.6K this month   ;Joined May 2018",Indiana, Anyone would suspect this outcomes.,544
85,Why do urologists report such a high rate of stress and burnout?,Jessica-Brown-2127,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#950083638January 2, 2020 at 11:11:55 AM","B.S from Taylor UniversityGraduated 2004   ;Lives in Indianapolis, IN   ;60.9K content views3.6K this month   ;Joined May 2018",Indiana, will cause burnout over time,545
85,Why do urologists report such a high rate of stress and burnout?,Jessica-Brown-2127,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#950083638January 2, 2020 at 11:11:55 AM","B.S from Taylor UniversityGraduated 2004   ;Lives in Indianapolis, IN   ;60.9K content views3.6K this month   ;Joined May 2018",Indiana,… (,546
85,Why do urologists report such a high rate of stress and burnout?,Jessica-Brown-2127,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#950083638January 2, 2020 at 11:11:55 AM","B.S from Taylor UniversityGraduated 2004   ;Lives in Indianapolis, IN   ;60.9K content views3.6K this month   ;Joined May 2018",Indiana,view more),547
86,Why do urologists report such a high rate of stress and burnout?,Barbara-Markham,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313266355October 5, 2017 at 11:40:50 PM","Working for a large urology practice for 26 Years1995–present   ;Lives in Davenport, IA   ;6.1M content views183.6K this month   ;Active in 1 Space   ;Knows English   ;Joined February 2017",America,Actually less than the top five specialties that are the most burned out.,548
86,Why do urologists report such a high rate of stress and burnout?,Barbara-Markham,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313266355October 5, 2017 at 11:40:50 PM","Working for a large urology practice for 26 Years1995–present   ;Lives in Davenport, IA   ;6.1M content views183.6K this month   ;Active in 1 Space   ;Knows English   ;Joined February 2017",America," If you actually read the article, it tells you wny why - more time at work, less at home.",549
86,Why do urologists report such a high rate of stress and burnout?,Barbara-Markham,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313266355October 5, 2017 at 11:40:50 PM","Working for a large urology practice for 26 Years1995–present   ;Lives in Davenport, IA   ;6.1M content views183.6K this month   ;Active in 1 Space   ;Knows English   ;Joined February 2017",America,home.,550
86,Why do urologists report such a high rate of stress and burnout?,Barbara-Markham,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313266355October 5, 2017 at 11:40:50 PM","Working for a large urology practice for 26 Years1995–present   ;Lives in Davenport, IA   ;6.1M content views183.6K this month   ;Active in 1 Space   ;Knows English   ;Joined February 2017",America, Urologists in general do not have large groups with a lot of backup.,551
86,Why do urologists report such a high rate of stress and burnout?,Barbara-Markham,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313266355October 5, 2017 at 11:40:50 PM","Working for a large urology practice for 26 Years1995–present   ;Lives in Davenport, IA   ;6.1M content views183.6K this month   ;Active in 1 Space   ;Knows English   ;Joined February 2017",America," They are actually few and far between, especially in certain areas so they are seeing a ton of patients that cannot be seen elsewhere.",552
86,Why do urologists report such a high rate of stress and burnout?,Barbara-Markham,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313266355October 5, 2017 at 11:40:50 PM","Working for a large urology practice for 26 Years1995–present   ;Lives in Davenport, IA   ;6.1M content views183.6K this month   ;Active in 1 Space   ;Knows English   ;Joined February 2017",America,,553
86,Why do urologists report such a high rate of stress and burnout?,Barbara-Markham,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313266355October 5, 2017 at 11:40:50 PM","Working for a large urology practice for 26 Years1995–present   ;Lives in Davenport, IA   ;6.1M content views183.6K this month   ;Active in 1 Space   ;Knows English   ;Joined February 2017",America,… (,554
86,Why do urologists report such a high rate of stress and burnout?,Barbara-Markham,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313266355October 5, 2017 at 11:40:50 PM","Working for a large urology practice for 26 Years1995–present   ;Lives in Davenport, IA   ;6.1M content views183.6K this month   ;Active in 1 Space   ;Knows English   ;Joined February 2017",America,view more),555
87,Why do urologists report such a high rate of stress and burnout?,Nathan-Ketsdever,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313396358October 6, 2017 at 5:11:13 AM","Self-employed2007–present   ;Master's from Ball State UniversityGraduated 2001   ;Lives in Nashville, TN   ;21.7M content views274.7K this month   ;Top Writer2018, 2015, 2014 and 2013   ;Top Question Writer2018, 2017 and 2016   ;Active in 77 Spaces   ;Joined March 2011",America,Being a doctor versu…,556
87,Why do urologists report such a high rate of stress and burnout?,Nathan-Ketsdever,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313396358October 6, 2017 at 5:11:13 AM","Self-employed2007–present   ;Master's from Ball State UniversityGraduated 2001   ;Lives in Nashville, TN   ;21.7M content views274.7K this month   ;Top Writer2018, 2015, 2014 and 2013   ;Top Question Writer2018, 2017 and 2016   ;Active in 77 Spaces   ;Joined March 2011",America,I think the larger question this data presents is what are the core stresses of doctors overall.,557
87,Why do urologists report such a high rate of stress and burnout?,Nathan-Ketsdever,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313396358October 6, 2017 at 5:11:13 AM","Self-employed2007–present   ;Master's from Ball State UniversityGraduated 2001   ;Lives in Nashville, TN   ;21.7M content views274.7K this month   ;Top Writer2018, 2015, 2014 and 2013   ;Top Question Writer2018, 2017 and 2016   ;Active in 77 Spaces   ;Joined March 2011",America,,558
87,Why do urologists report such a high rate of stress and burnout?,Nathan-Ketsdever,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313396358October 6, 2017 at 5:11:13 AM","Self-employed2007–present   ;Master's from Ball State UniversityGraduated 2001   ;Lives in Nashville, TN   ;21.7M content views274.7K this month   ;Top Writer2018, 2015, 2014 and 2013   ;Top Question Writer2018, 2017 and 2016   ;Active in 77 Spaces   ;Joined March 2011",America,The larger question is why isn’t the emergency medicine higher on the list.,559
87,Why do urologists report such a high rate of stress and burnout?,Nathan-Ketsdever,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313396358October 6, 2017 at 5:11:13 AM","Self-employed2007–present   ;Master's from Ball State UniversityGraduated 2001   ;Lives in Nashville, TN   ;21.7M content views274.7K this month   ;Top Writer2018, 2015, 2014 and 2013   ;Top Question Writer2018, 2017 and 2016   ;Active in 77 Spaces   ;Joined March 2011",America, I’m curious if this points to the fact that people self-select and that you eventually adjust to certain stresses in the work environment.,560
87,Why do urologists report such a high rate of stress and burnout?,Nathan-Ketsdever,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313396358October 6, 2017 at 5:11:13 AM","Self-employed2007–present   ;Master's from Ball State UniversityGraduated 2001   ;Lives in Nashville, TN   ;21.7M content views274.7K this month   ;Top Writer2018, 2015, 2014 and 2013   ;Top Question Writer2018, 2017 and 2016   ;Active in 77 Spaces   ;Joined March 2011",America,,561
87,Why do urologists report such a high rate of stress and burnout?,Nathan-Ketsdever,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313396358October 6, 2017 at 5:11:13 AM","Self-employed2007–present   ;Master's from Ball State UniversityGraduated 2001   ;Lives in Nashville, TN   ;21.7M content views274.7K this month   ;Top Writer2018, 2015, 2014 and 2013   ;Top Question Writer2018, 2017 and 2016   ;Active in 77 Spaces   ;Joined March 2011",America,"Urology is actually pretty low on the list, in the lower 25% of the feelings of stress.",562
87,Why do urologists report such a high rate of stress and burnout?,Nathan-Ketsdever,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313396358October 6, 2017 at 5:11:13 AM","Self-employed2007–present   ;Master's from Ball State UniversityGraduated 2001   ;Lives in Nashville, TN   ;21.7M content views274.7K this month   ;Top Writer2018, 2015, 2014 and 2013   ;Top Question Writer2018, 2017 and 2016   ;Active in 77 Spaces   ;Joined March 2011",America,,563
87,Why do urologists report such a high rate of stress and burnout?,Nathan-Ketsdever,https://www.quora.com/Why-do-urologists-report-such-a-high-rate-of-stress-and-burnout,"#313396358October 6, 2017 at 5:11:13 AM","Self-employed2007–present   ;Master's from Ball State UniversityGraduated 2001   ;Lives in Nashville, TN   ;21.7M content views274.7K this month   ;Top Writer2018, 2015, 2014 and 2013   ;Top Question Writer2018, 2017 and 2016   ;Active in 77 Spaces   ;Joined March 2011",America,… (,564
